1107:distance error all: 0.01090300000000255;distance error:0.008974999999999511
1110:distance error all: 0.01196899999999701;distance error:0.0
1113:distance error all: 0.0009979999999991662;distance error:0.0
1116:distance error all: 0.007978999999998848;distance error:0.0
1119:distance error all: 0.009971000000000174;distance error:0.0009979999999991662
1122:distance error all: 0.014962999999998061;distance error:0.0009929999999975792
1125:distance error all: 0.012964999999997673;distance error:0.010970000000000368
1128:distance error all: 0.0019949999999973045;distance error:0.0
1131:distance error all: 0.0029879999999984364;distance error:0.0
1134:distance error all: 0.014958000000000027;distance error:0.000996000000000663
1137:distance error all: 0.0019939999999998292;distance error:0.0009969999999981383
1140:distance error all: 0.018950000000000244;distance error:0.007975999999999317
1143:distance error all: 0.007978000000001373;distance error:0.0
1146:distance error all: 0.011970999999999066;distance error:0.000990999999999076
1149:distance error all: 0.013959999999997308;distance error:0.0009959999999971103
1152:distance error all: 0.0009979999999991662;distance error:0.0
1155:distance error all: 0.010968000000001865;distance error:0.000997000000001691
1158:distance error all: 0.0209450000000011;distance error:0.0009979999999991662
1161:distance error all: 0.012966999999999729;distance error:0.0009969999999981383
1164:distance error all: 0.000996000000000663;distance error:0.0
1167:distance error all: 0.0109729999999999;distance error:0.0
1170:distance error all: 0.008974999999999511;distance error:0.0
1173:distance error all: 0.012964000000000198;distance error:0.000998000000002719
1176:distance error all: 0.004988999999998356;distance error:0.0009940000000021598
1179:distance error all: 0.014962000000000586;distance error:0.0009939999999986071
1182:distance error all: 0.014960999999999558;distance error:0.0019929999999988013
1185:distance error all: 0.0029939999999974987;distance error:0.0019969999999993604
1188:distance error all: 0.0029940000000010514;distance error:0.0009990000000001942
1191:distance error all: 0.008972999999997455;distance error:0.0009969999999981383
1194:distance error all: 0.009973999999999705;distance error:0.000997000000001691
1197:distance error all: 0.0019939999999998292;distance error:0.000997000000001691
1200:distance error all: 0.001995000000000857;distance error:0.000997000000001691
1202:distance error all: 0.012967999999997204;distance error:0.001988999999998242
1205:distance error all: 0.022937999999999903;distance error:0.010973999999997375
1208:distance error all: 0.01595700000000022;distance error:0.0009929999999975792
1211:distance error all: 0.014958000000000027;distance error:0.000994999999999635
1214:distance error all: 0.017949999999999022;distance error:0.00797799999999782
1217:distance error all: 0.01595700000000022;distance error:0.005983000000000516
1220:distance error all: 0.011969000000000563;distance error:0.0009969999999981383
1223:distance error all: 0.01196700000000206;distance error:0.000996000000000663
1226:distance error all: 0.01795500000000061;distance error:0.00897900000000007
1229:distance error all: 0.011967999999999535;distance error:0.0009990000000001942
1232:distance error all: 0.011969999999998038;distance error:0.009975000000000733
1235:distance error all: 0.006973999999999592;distance error:0.0019929999999988013
1238:distance error all: 0.002992000000002548;distance error:0.000996000000000663
1241:distance error all: 0.00997700000000279;distance error:0.00100100000000225
1244:distance error all: 0.00997300000000223;distance error:0.006980000000002207
1247:distance error all: 0.009976999999999236;distance error:0.000996000000000663
1250:distance error all: 0.004986000000002377;distance error:0.000997000000001691
1253:distance error all: 0.004988000000000881;distance error:0.0009990000000001942
1256:distance error all: 0.0019939999999998292;distance error:0.0009979999999991662
1259:distance error all: 0.012967000000003281;distance error:0.000996000000000663
1262:distance error all: 0.014960000000002083;distance error:0.009971000000000174
1265:distance error all: 0.0029909999999979675;distance error:0.0
1268:distance error all: 0.0019959999999983324;distance error:0.0
1271:distance error all: 0.017949999999999022;distance error:0.007977000000000345
1274:distance error all: 0.010971000000001396;distance error:0.008978000000002595
1277:distance error all: 0.0029879999999984364;distance error:0.0009969999999981383
1280:distance error all: 0.012968000000000757;distance error:0.000997000000001691
1283:distance error all: 0.0039890000000006864;distance error:0.000996000000000663
1286:distance error all: 0.01097599999999943;distance error:0.001986999999999739
1289:distance error all: 0.012940000000000396;distance error:0.0
1292:distance error all: 0.011966999999998507;distance error:0.007975999999999317
1295:distance error all: 0.0039890000000006864;distance error:0.000996000000000663
1298:distance error all: 0.0019939999999998292;distance error:0.000996000000000663
1301:distance error all: 0.01197000000000159;distance error:0.00897900000000007
1304:distance error all: 0.01197000000000159;distance error:0.008977999999999042
1307:distance error all: 0.0019939999999998292;distance error:0.0
1310:distance error all: 0.00997199999999765;distance error:0.0
1313:distance error all: 0.011964000000002528;distance error:0.00797600000000287
1316:distance error all: 0.0029889999999994643;distance error:0.000998000000002719
1319:distance error all: 0.009973999999999705;distance error:0.0009979999999991662
1322:distance error all: 0.010971999999998872;distance error:0.0009979999999991662
1325:distance error all: 0.010971999999998872;distance error:0.007975999999999317
1328:distance error all: 0.0029910000000015202;distance error:0.000996000000000663
1331:distance error all: 0.012966999999999729;distance error:0.0010009999999986974
1334:distance error all: 0.003986000000001155;distance error:0.0009969999999981383
1337:distance error all: 0.001993000000002354;distance error:0.000996000000000663
1340:distance error all: 0.011967999999999535;distance error:0.000996000000000663
1343:distance error all: 0.004988999999998356;distance error:0.0009979999999991662
1346:distance error all: 0.003990000000001714;distance error:0.0009979999999991662
1349:distance error all: 0.001995000000000857;distance error:0.0
1352:distance error all: 0.008976000000000539;distance error:0.000968000000000302
1355:distance error all: 0.011962000000000472;distance error:0.0
1358:distance error all: 0.013968000000001979;distance error:0.0029919999999989955
1361:distance error all: 0.012965000000001226;distance error:0.000996000000000663
1366:distance error all: 0.010967000000000837;distance error:0.000994999999999635
1371:distance error all: 0.007975999999999317;distance error:0.0
1374:distance error all: 0.011967999999999535;distance error:0.0019939999999998292
1379:distance error all: 0.0029930000000000234;distance error:0.000997000000001691
1384:distance error all: 0.014958000000000027;distance error:0.0
1389:distance error all: 0.010970000000000368;distance error:0.0
1394:distance error all: 0.00997199999999765;distance error:0.0009959999999971103
1397:distance error all: 0.013964999999998895;distance error:0.0
1402:distance error all: 0.002988000000001989;distance error:0.001992000000001326
1407:distance error all: 0.003992000000000218;distance error:0.0009969999999981383
1412:distance error all: 0.009972999999998677;distance error:0.0069480000000012865
1417:distance error all: 0.0109729999999999;distance error:0.0009940000000021598
1420:distance error all: 0.012966999999999729;distance error:0.008977000000001567
1425:distance error all: 0.013954999999999274;distance error:0.0009979999999991662
1430:distance error all: 0.009972999999998677;distance error:0.0009979999999991662
1435:distance error all: 0.0109729999999999;distance error:0.0
1440:distance error all: 0.023931000000001035;distance error:0.01096599999999981
1443:distance error all: 0.02193899999999971;distance error:0.008970999999998952
1448:distance error all: 0.012964999999997673;distance error:0.000997000000001691
1453:distance error all: 0.0079790000000024;distance error:0.0009990000000001942
1458:distance error all: 0.013963000000000392;distance error:0.000994999999999635
1463:distance error all: 0.0119630000000015;distance error:0.000997000000001691
1466:distance error all: 0.01889800000000008;distance error:0.00797799999999782
