332713;784,592,11,18,;[0.93025273],
332714;784,594,12,17,;[0.91745484],
332715;783,594,12,17,;[0.89230734],
332716;784,595,12,16,;[0.9149222],
332717;784,595,12,16,;[0.9239007],
332718;784,595,12,16,;[0.8217466],
332719;784,595,11,16,;[0.8155039],
332720;784,595,12,17,;[0.8994124],
332721;785,595,11,16,;[0.83827096],
332722;783,594,12,16,;[0.91693044],
332723;784,595,11,16,;[0.82589465],
332724;784,593,10,16,;[0.9434763],
332725;784,594,10,16,;[0.9419237],
332726;785,594,10,16,;[0.89710253],
332727;785,594,10,16,;[0.91752446],
332728;784,594,11,16,;[0.9438103],
332729;785,596,11,15,;[0.93647414],
332730;785,595,11,16,785,587,10,12,;[0.90627307],[0.80656654],
332731;785,595,11,16,;[0.89794177],
332732;784,595,11,16,;[0.9038589],
332733;785,595,11,16,;[0.9171271],
332734;785,594,11,17,;[0.8184177],
332736;783,594,12,16,;[0.8762207],
332737;785,594,11,16,;[0.8852369],
332738;785,594,10,17,;[0.85197645],
332739;785,594,11,16,;[0.8985974],
332740;784,595,11,15,;[0.90018153],
332741;785,595,11,14,;[0.88315314],
332742;784,594,11,16,;[0.8207876],
332744;784,595,11,15,;[0.8064778],
332746;784,595,10,14,;[0.82895726],
332747;784,595,10,14,;[0.8541917],
332749;784,595,11,16,;[0.8195829],
332750;784,595,11,15,;[0.84870625],
332752;783,595,12,15,;[0.8550309],
332779;783,594,12,16,;[0.8218446],
332780;784,594,11,16,;[0.8732917],
332781;784,595,11,15,;[0.9018765],
332782;782,595,12,15,783,586,10,12,;[0.88272625],[0.8349008],
332783;783,586,10,11,783,595,11,15,;[0.8569271],[0.8371383],
332784;783,595,11,15,;[0.84688866],
332785;783,595,11,15,;[0.84845275],
332786;783,594,11,14,783,586,10,12,;[0.9310629],[0.9072679],
332787;782,594,11,14,783,586,10,12,;[0.936721],[0.8772923],
332788;782,596,12,15,783,587,10,11,;[0.8969905],[0.88544476],
332789;782,596,12,15,783,587,10,11,;[0.9188663],[0.9092582],
332790;784,587,10,11,783,596,11,14,;[0.944706],[0.9047122],
332791;784,586,10,12,783,595,11,14,;[0.9375755],[0.8346905],
332792;783,586,10,13,;[0.9314322],
332793;783,585,10,14,782,594,12,15,;[0.9419008],[0.80715805],
332794;783,585,10,13,782,595,12,15,;[0.95338297],[0.86617297],
332795;783,585,10,13,782,596,12,15,;[0.95183617],[0.8666768],
332796;784,584,10,14,782,594,12,14,;[0.9546996],[0.834717],
332797;784,584,10,14,783,595,11,14,;[0.9565278],[0.8227031],
332798;784,585,10,13,783,594,12,15,;[0.9376946],[0.89361835],
332799;784,585,10,13,784,594,11,14,;[0.94978803],[0.90640724],
332800;784,586,11,13,783,594,12,16,;[0.93787205],[0.89850944],
332801;784,585,10,13,782,595,12,15,;[0.9497234],[0.9264135],
332802;784,584,10,12,783,595,11,14,;[0.95707655],[0.91636133],
332803;784,584,10,12,783,595,11,13,;[0.9627628],[0.9310624],
332804;783,584,10,12,782,594,12,14,;[0.9323951],[0.8436659],
332805;783,585,10,12,782,595,12,14,;[0.94994664],[0.821534],
332806;783,584,11,13,782,594,13,16,;[0.9417541],[0.8823875],
332807;783,584,11,13,782,595,12,15,;[0.92397344],[0.87017035],
332808;783,584,10,13,782,595,12,14,;[0.9636484],[0.8783622],
332809;783,585,11,13,782,595,12,14,;[0.9621851],[0.8434125],
332810;783,584,10,13,782,595,12,15,;[0.9476528],[0.90341115],
332811;783,584,10,13,783,595,11,15,;[0.9613189],[0.9376793],
332812;784,583,10,13,782,594,12,14,;[0.9620304],[0.89478177],
332813;783,584,10,13,783,594,11,14,;[0.95580566],[0.9070505],
332814;784,583,10,14,783,594,11,14,;[0.9637531],[0.8692918],
332815;784,585,10,13,784,595,11,13,;[0.9701561],[0.8761309],
332816;784,583,10,14,783,594,11,15,;[0.9563244],[0.9007365],
332817;784,583,10,14,783,594,11,15,;[0.9626387],[0.8832022],
332818;784,593,11,14,784,583,10,13,;[0.9024136],[0.8638361],
332819;784,594,11,14,784,583,10,13,;[0.92901844],[0.8975377],
332820;784,583,10,14,783,594,11,13,;[0.9547283],[0.89658284],
332821;784,583,10,14,783,593,11,14,;[0.9669865],[0.9333671],
332822;784,583,10,14,783,593,11,14,;[0.9309178],[0.9184719],
332823;784,584,10,14,782,593,12,15,;[0.9583954],[0.89894384],
332824;783,583,10,14,783,593,11,14,;[0.96406674],[0.925022],
332825;783,583,10,14,783,593,11,14,;[0.96700513],[0.9071697],
332826;784,582,10,14,783,593,11,14,;[0.96188277],[0.9053022],
332827;784,582,10,14,783,593,11,14,;[0.9678369],[0.8672882],
332828;783,582,10,14,781,593,12,14,;[0.9546998],[0.8597709],
332829;783,582,10,14,781,593,12,14,;[0.95434487],[0.86992484],
332830;783,581,10,14,782,595,11,14,;[0.95040905],[0.9204354],
332831;783,581,11,15,781,594,12,15,;[0.9573533],[0.9017018],
332832;783,580,11,16,781,593,12,15,;[0.9459985],[0.8246811],
332833;783,581,11,15,782,593,11,14,;[0.94126314],[0.8310549],
332834;782,580,10,14,781,594,12,14,;[0.96139324],[0.89114255],
332835;782,580,10,14,782,594,11,14,;[0.9432439],[0.90582913],
332836;782,580,10,14,781,594,11,14,;[0.96346116],[0.9260282],
332837;782,580,11,15,781,593,12,14,;[0.950669],[0.90637875],
332838;782,580,11,14,781,594,12,15,;[0.9638979],[0.94750065],
332839;782,580,11,14,781,594,12,14,;[0.9649523],[0.93730354],
332840;783,580,11,14,781,594,12,15,;[0.9684326],[0.94472224],
332841;783,580,11,15,781,594,12,15,;[0.9637503],[0.9403917],
332842;783,582,10,13,783,594,11,14,;[0.9635664],[0.92440724],
332843;783,581,10,13,782,595,11,15,;[0.9595207],[0.93527883],
332844;783,581,10,14,783,594,10,15,;[0.9540527],[0.87650824],
332845;783,581,10,15,783,593,11,15,;[0.9575973],[0.8456046],
332846;782,581,10,14,782,594,10,15,;[0.93354064],[0.899752],
332847;782,581,10,15,782,593,11,16,;[0.9485566],[0.807971],
332848;783,581,10,15,;[0.93628037],
332849;783,581,10,15,;[0.93983257],
332850;783,580,10,17,;[0.92795056],
332851;782,580,10,17,;[0.93555295],
332852;782,580,10,16,;[0.91034365],
332853;783,580,9,17,;[0.9415861],
332854;782,579,11,18,;[0.92977923],
332855;782,579,10,17,;[0.9259755],
332856;782,578,10,18,;[0.8543902],
332857;782,578,10,18,;[0.87904155],
332858;782,579,10,16,;[0.9308143],
332859;782,579,10,16,;[0.93020195],
332860;782,579,10,16,;[0.93475014],
332861;782,578,10,17,;[0.9458952],
332862;782,579,10,16,;[0.9361545],
332863;782,579,11,17,;[0.9443659],
332864;782,579,10,16,;[0.93810403],
332865;782,579,10,16,;[0.9539741],
332866;782,578,10,17,;[0.9136318],
332867;782,579,10,16,;[0.94527644],
332868;781,577,10,19,;[0.91285366],
332869;782,577,10,19,;[0.9304198],
332870;782,579,10,17,;[0.95754063],
332871;781,578,10,19,;[0.9051525],
332872;781,578,10,18,;[0.9173874],
332874;781,579,10,17,;[0.89110804],
332875;781,579,10,17,;[0.83380026],
332876;780,579,10,17,;[0.86428386],
332877;781,578,11,18,;[0.8197588],
332878;781,579,10,18,;[0.8964348],
332879;781,579,10,17,;[0.8877282],
332880;780,577,11,19,;[0.87643534],
332881;780,577,11,19,;[0.85706866],
332882;780,578,11,19,;[0.89651287],
332884;781,578,11,19,;[0.90671074],
332885;781,578,11,19,;[0.88857085],
332886;780,577,11,18,;[0.8555191],
332887;779,577,12,18,;[0.8527869],
332888;780,579,10,18,;[0.933288],
332889;780,579,10,18,;[0.93345207],
332890;780,579,11,18,;[0.83397037],
332891;780,579,11,18,;[0.85041094],
332892;780,580,10,18,;[0.8452116],
332896;780,581,11,18,;[0.8078593],
332902;782,574,9,13,;[0.9134131],
332903;782,574,9,13,;[0.9045923],
332904;782,575,9,13,;[0.8771768],
332905;781,574,9,13,;[0.84772617],
332906;780,582,11,17,;[0.87889284],
332907;780,581,11,17,;[0.8482799],
332908;779,584,12,16,781,575,9,13,;[0.92070514],[0.88004446],
332909;780,583,11,16,781,575,9,13,;[0.93932956],[0.8676689],
332910;780,583,11,16,782,575,9,13,;[0.8756656],[0.858548],
332911;781,574,9,13,;[0.9156983],
332912;782,574,9,13,780,586,11,15,;[0.9347394],[0.88806826],
332913;782,574,8,12,780,586,10,14,;[0.9304297],[0.88607705],
332914;779,584,12,16,782,574,9,12,;[0.94284195],[0.9283503],
332915;781,574,9,12,779,585,12,15,;[0.93060994],[0.9109556],
332916;781,574,9,13,780,586,11,14,;[0.94211847],[0.80586445],
332917;781,574,9,13,780,586,11,14,;[0.9382996],[0.9023805],
332918;782,574,9,13,;[0.9395529],
332919;782,573,9,13,780,586,11,15,;[0.92513627],[0.89195037],
332920;780,585,11,15,782,574,9,13,;[0.9548943],[0.95103717],
332921;782,573,9,13,780,586,11,14,;[0.9558495],[0.94966614],
332922;781,573,9,12,780,587,11,13,;[0.96229887],[0.93697625],
332923;781,572,9,12,780,586,11,14,;[0.95959175],[0.8859657],
332924;781,573,9,13,779,586,12,14,;[0.9599098],[0.9408118],
332925;780,573,10,13,779,586,12,15,;[0.97072774],[0.9105563],
332926;781,572,8,13,779,586,10,14,;[0.94713765],[0.9402092],
332927;779,586,10,14,781,572,8,12,;[0.9633279],[0.93805194],
332928;779,586,11,14,781,572,8,12,;[0.9410763],[0.92748815],
332929;780,572,9,13,779,586,11,15,;[0.95064396],[0.8770825],
332930;779,585,11,15,781,572,9,13,;[0.9421362],[0.9259291],
332931;779,585,11,15,781,572,9,13,;[0.94080734],[0.93515784],
332932;779,586,10,14,781,572,8,13,;[0.94359404],[0.93451154],
332933;779,585,10,15,780,571,8,13,;[0.94801974],[0.92494816],
332934;779,586,11,15,780,571,8,13,;[0.9203396],[0.8809778],
332935;779,586,10,15,780,571,8,12,;[0.94131714],[0.8589964],
332936;779,584,10,15,780,572,8,13,;[0.94433916],[0.8480845],
332937;779,584,11,15,780,571,8,13,;[0.952304],[0.8291],
332938;779,583,10,16,;[0.93841785],
332939;779,584,10,15,;[0.93826497],
332940;778,584,11,15,;[0.9270368],
332941;778,585,11,15,;[0.93674433],
332942;778,585,11,15,;[0.8462117],
332943;778,585,11,15,;[0.85977083],
332944;778,585,10,15,;[0.85596174],
332945;778,585,10,14,;[0.8835691],
332946;778,586,10,15,;[0.89846706],
332947;778,585,11,14,;[0.90742815],
332948;778,585,11,14,;[0.9288646],
332949;778,585,10,14,;[0.8776675],
332950;778,585,10,13,;[0.89197093],
332951;777,584,11,16,;[0.83149004],
332952;778,583,10,16,;[0.848796],
332953;778,584,10,14,;[0.84147954],
332954;776,583,12,17,;[0.8918939],
332955;778,584,11,14,;[0.8446023],
332956;778,584,11,14,;[0.8924095],
332957;776,585,13,16,;[0.8319763],
332958;778,585,11,13,;[0.88941765],
332959;778,585,10,14,;[0.8787746],
332960;776,584,12,16,;[0.87189597],
332961;776,583,13,16,;[0.88244635],
332962;778,585,11,14,;[0.8309496],
332963;776,582,13,16,;[0.846755],
332964;778,585,11,14,;[0.8884555],
332965;777,585,12,14,;[0.89771247],
332966;778,585,11,14,;[0.87487304],
332967;778,584,11,14,;[0.85864586],
332968;778,585,10,13,;[0.90807885],
332969;778,585,11,14,;[0.85333747],
332970;778,583,11,14,;[0.88391143],
332971;778,583,11,14,;[0.8184117],
332972;778,585,11,14,;[0.8420024],
332973;776,584,12,17,;[0.91365224],
332974;777,584,12,14,777,566,11,15,;[0.8311458],[0.80266273],
332975;777,585,12,14,;[0.86953],
332976;778,585,11,13,777,565,11,14,;[0.8403021],[0.8171388],
332977;777,585,12,13,776,565,12,14,;[0.86832565],[0.81192815],
332978;777,583,11,16,777,565,11,15,;[0.93758315],[0.85582995],
332979;777,583,11,16,777,565,11,15,;[0.91923815],[0.8105391],
332980;776,583,12,16,777,565,11,15,;[0.94130003],[0.8459313],
332981;777,582,11,16,;[0.8601405],
332982;778,583,10,14,;[0.85201097],
332983;778,585,10,13,;[0.8740651],
332984;776,583,12,17,;[0.85773224],
332985;776,583,12,17,;[0.9066165],
332986;778,584,11,15,;[0.83837366],
332987;778,584,11,15,;[0.8454778],
332988;776,582,12,17,;[0.91690063],
332989;777,583,11,17,;[0.9147516],
332990;776,582,12,19,;[0.9204394],
332991;776,581,12,18,;[0.9401009],
332992;776,582,12,18,776,561,12,18,;[0.96777725],[0.8764075],
332993;776,582,11,18,776,561,12,18,;[0.9527908],[0.8171251],
332994;776,580,11,19,;[0.9393326],
332995;776,580,11,18,;[0.92132205],
332996;777,581,11,18,;[0.9382264],
332997;776,581,11,18,;[0.9513597],
332998;776,579,11,20,;[0.9678891],
332999;776,580,11,19,;[0.96437144],
333000;776,581,11,19,;[0.9730032],
333001;776,581,11,19,776,561,11,19,;[0.9744288],[0.8064193],
333002;776,580,11,19,;[0.95341426],
333003;776,580,11,19,;[0.9525633],
333004;776,582,11,17,776,563,11,17,;[0.96774197],[0.86441344],
333005;776,581,10,18,776,563,11,17,;[0.96560866],[0.86000335],
333006;776,581,11,19,776,562,11,19,;[0.9653073],[0.8259116],
333007;776,581,11,19,;[0.95621103],
333008;776,581,11,19,;[0.94538915],
333009;776,581,10,18,;[0.95781237],
333010;775,581,12,18,775,561,12,18,;[0.9672712],[0.8301193],
333011;775,580,12,18,;[0.96770144],
333012;776,582,11,17,776,562,11,17,;[0.9767646],[0.8252803],
333013;776,582,11,17,;[0.97616225],
333014;776,581,11,18,776,561,11,18,;[0.9786188],[0.8281291],
333015;776,581,11,18,;[0.9778028],
333016;776,580,11,19,;[0.96602184],
333017;775,581,12,18,;[0.96461254],
333018;776,582,11,16,775,562,12,17,;[0.9661183],[0.89779735],
333019;776,581,11,16,775,562,12,17,;[0.97354203],[0.87268376],
333020;775,582,12,17,775,561,12,18,;[0.96798015],[0.911041],
333021;775,583,12,17,775,560,12,18,;[0.97558564],[0.8447286],
333022;775,581,12,18,775,560,12,18,;[0.98345345],[0.8529236],
333023;776,582,11,17,;[0.9839991],
333024;776,580,11,18,;[0.9863901],
333025;776,581,11,18,;[0.98341554],
333026;776,581,11,17,;[0.9747888],
333027;776,581,11,17,;[0.97736275],
333028;775,581,12,19,;[0.9770986],
333029;776,579,11,18,;[0.9808549],
333030;775,580,12,19,776,560,10,17,;[0.9688911],[0.8698561],
333031;775,580,12,19,776,560,10,16,;[0.9740464],[0.8010686],
333032;775,580,12,20,;[0.9761026],
333033;775,579,12,20,776,560,10,17,;[0.97116363],[0.8014968],
333034;774,580,12,20,;[0.9622719],
333035;775,579,12,20,776,559,10,17,;[0.9411754],[0.8385235],
333036;776,578,13,19,777,560,10,15,;[0.9182107],[0.8161745],
333037;775,578,13,19,777,560,10,15,;[0.93948597],[0.8067265],
333038;775,578,13,20,776,559,10,17,;[0.9530383],[0.8785199],
333039;776,559,10,17,775,576,13,20,;[0.94706184],[0.9455397],
333040;775,577,13,20,777,559,10,17,;[0.95292234],[0.9082635],
333041;775,576,13,20,777,559,10,17,;[0.9532857],[0.91433966],
333042;775,576,13,21,777,559,11,17,;[0.9513478],[0.8917844],
